638 115 144 392
638 494 56 93
638 360 654 812
672 689 233 640
5 414 732 54
638 506 0 78
506 266 877 620
638 907 410 447
638 971 910 571
38 33 73 353
552 952 357 167
789 685 380 818
240 40 228 843
0 638 469 762
638 469 824 469
638 638 509 708
638 987 333 960
638 566 228 673
638 604 611 627
291 371 0 942
109 40 977 223
638 638 818 360
638 290 216 241
638 0 638 946
0 78 269 934
638 330 129 930
765 764 228 968
638 896 228 206
636 818 129 954
779 224 564 559
776 900 432 294
638 98 189 390
462 799 818 994
638 344 33 77
638 722 955 870
638 405 486 618
638 638 991 614
101 228 15 598
638 27 809 368
638 611 462 109
638 767 772 680
369 158 469 983
2 942 0 38
638 228 991 848
638 291 900 908
638 55 799 734
98 952 25 222
638 273 734 561
638 452 310 469
645 441 487 894
638 956 199 209
638 689 486 393
638 732 558 700
638 228 293 506
638 638 677 960
638 741 450 4
638 69 462 52
242 23 939 583
638 463 133 394
689 131 19 369
638 168 832 45
638 156 703 689
638 696 991 988
175 914 0 638
638 4 249 0
837 441 433 249
638 384 502 762
638 709 642 73
892 562 588 974
540 282 818 489
729 278 620 58
440 600 568 280
0 638 371 101
481 168 124 0
221 566 73 257
638 383 358 818
638 638 469 350
492 728 294 201
638 254 571 469
463 504 58 557
360 991 827 143
638 440 487 0
638 950 718 469
638 462 440 768
638 622 522 97
638 101 988 240
746 486 558 694
638 56 863 764
638 674 571 627
73 864 130 401
638 610 254 309
638 709 716 0
848 894 948 427
638 73 135 440
638 6 246 166
638 959 118 213
638 878 311 971
298 888 850 964
638 519 638 848
271 613 293 254
4 168 991 0
779 506 401 601
638 271 694 709
638 959 9 509
638 805 827 73
638 981 913 871
638 712 790 388
381 729 494 0
417 712 611 189
593 73 445 360
638 620 495 0
638 950 0 638
638 638 767 998
469 30 164 0
315 345 425 79
291 330 775 318
168 555 934 107
722 355 101 472
638 311 143 802
477 494 964 590
0 638 228 12
638 440 84 954
638 425 220 404
638 638 820 0
959 479 209 684
638 300 916 45
228 723 913 228
638 58 438 833
250 488 492 942
852 610 887 174
638 295 396 818
638 806 258 668
734 228 698 456
638 669 493 622
101 805 67 846
0 638 258 689
746 835 462 209
689 596 939 931
638 595 73 913
638 271 425 817
638 240 408 38
0 638 665 338
0 371 477 473
441 109 670 186
729 758 271 360
358 420 760 677
638 554 878 165
590 734 991 441
638 101 824 905
638 101 563 58
638 499 827 383
638 518 35 950
638 850 101 906
638 848 588 409
638 627 330 388
638 964 0 0
638 777 30 0
228 709 191 647
701 960 556 829
638 371 279 165
0 0 101 58
595 876 661 672
638 242 58 228
638 785 906 162
638 228 971 342
638 689 155 514
638 441 168 0
638 573 631 360
228 262 715 644
228 644 976 547
638 360 371 747
254 994 117 871
638 818 139 596
638 4 506 704
638 357 405 282
638 130 164 722
638 38 725 594
258 715 393 0
0 57 228 721
669 771 209 500
638 638 911 579
291 77 880 991
746 70 587 45
638 638 711 982
722 509 827 677
638 311 827 0
309 166 821 905
638 469 950 910
638 533 18 0
339 359 905 209
638 684 572 900
894 712 57 677
827 722 950 875
638 566 582 27
506 360 644 689
959 818 752 315
388 182 360 891
751 509 638 0
638 638 355 665
10 101 5 233
638 228 69 519
702 499 168 465
638 694 395 982
638 680 116 991
638 893 184 17
638 463 463 232
638 101 895 209
991 818 573 952
638 626 6 556
638 369 711 961
951 895 607 951
746 958 315 0
563 388 42 460
228 469 405 848
0 638 655 952
228 871 956 287
228 86 48 0
228 784 423 0
638 583 680 0
109 441 910 227
0 493 638 164
894 371 444 755
360 155 58 0
638 361 602 521
638 233 401 73
713 568 150 702
638 170 959 573
638 959 155 129
638 583 445 733
621 936 996 249
746 689 58 171
725 692 829 69
425 4 478 950
638 209 677 469
638 627 721 841
638 975 901 873
638 0 638 228
638 228 588 775
228 125 577 299
638 857 810 492
638 286 349 77
291 595 78 692
638 165 321 1
129 129 73 213
638 439 228 595
638 946 622 492
638 185 401 37
638 469 747 571
638 0 264 670
642 952 465 40
209 92 441 98
228 892 611 40
638 360 573 0
638 722 298 776
129 288 257 633
638 465 388 638
638 56 661 388
638 661 330 0
638 2 333 109
638 638 388 323
274 999 734 250
133 388 605 567
638 154 410 760
291 420 20 0
228 829 515 360
638 785 228 0
4 401 430 595
638 66 119 45
638 109 442 246
638 509 639 610
638 311 876 684
638 401 983 583
638 764 30 189
991 228 981 672
638 734 418 946
578 343 463 496
638 595 362 510
703 328 526 590
230 5 449 164
463 590 526 286
952 520 494 908
52 494 318 424
392 495 567 179
715 228 34 849
638 582 401 621
991 509 520 461
30 772 871 513
638 509 676 151
228 233 401 101
661 868 613 495
894 669 837 450
493 827 371 850
638 644 634 32
638 318 972 0
441 509 835 644
441 228 683 579
638 732 914 704
971 827 63 441
638 602 911 408
433 400 169 732
689 440 517 0
228 644 477 0
56 45 241 72
638 360 440 129
638 721 384 629
638 874 713 594
192 15 939 245
638 950 445 734
493 228 321 222
638 818 463 101
878 637 715 0
439 232 872 495
806 746 546 855
638 90 63 26
109 343 539 149
638 878 638 233
302 506 228 147
219 358 355 900
651 930 175 33
171 827 206 337
401 469 233 959
661 154 595 925
638 362 878 254
228 518 827 26
519 494 294 641
689 266 861 669
638 321 728 0
374 640 672 430
584 835 26 854
952 311 629 434
638 818 699 0
638 41 688 61
848 515 627 595
228 518 271 909
228 251 136 233
228 959 405 155
638 251 315 700
638 843 282 586
638 271 818 661
638 371 506 0
779 701 31 238
638 0 951 258
440 676 430 916
638 991 20 910
638 98 494 116
638 588 73 665
638 228 164 369
638 910 360 931
249 582 360 57
874 711 129 0
689 143 213 594
282 800 495 954
638 505 435 558
638 360 417 454
954 228 689 384
638 84 554 99
638 98 165 966
638 369 959 246
638 950 509 191
463 102 895 928
878 388 407 359
638 732 942 0
311 795 469 3
135 506 642 890
638 228 976 0
638 228 258 0
638 318 894 425
368 638 897 94
638 325 734 789
232 219 18 75
638 181 790 405
228 73 188 46
638 613 690 896
638 440 777 778
0 638 991 638
837 638 438 20
0 638 465 651
627 105 388 337
228 62 430 69
722 441 509 959
638 291 61 952
638 646 435 850
638 638 469 0
598 871 154 236
99 635 733 0
266 271 717 465
638 832 238 596
109 762 336 430
625 517 689 827
101 228 549 398
0 638 33 65
0 827 209 498
638 989 0 262
448 405 871 147
600 677 611 711
638 983 465 578
638 228 209 143
345 357 209 842
228 991 531 51
109 594 842 763
689 360 401 0
638 450 776 375
0 638 302 147
638 677 541 441
610 160 232 291
689 638 251 164
638 843 271 164
991 571 430 848
638 388 895 206
401 205 380 991
57 822 810 340
638 638 949 434
184 269 747 369
228 952 775 942
638 734 587 741
401 371 481 910
638 0 638 675
638 28 56 383
149 312 722 895
638 950 425 872
638 430 400 256
4 400 126 810
638 171 883 242
401 878 206 168
638 371 306 361
638 469 874 57
638 721 56 0
56 821 888 991
149 233 701 358
638 695 494 189
638 209 802 315
901 395 514 950
638 755 764 310
638 315 371 590
291 818 463 0
638 866 258 222
469 101 33 627
638 689 971 357
638 728 233 362
638 517 533 500
734 991 296 20
638 282 991 495
638 991 250 991
779 4 318 599
703 211 871 442
954 644 310 567
638 465 833 566
638 991 494 721
168 441 642 692
638 689 690 233
360 228 943 271
638 233 518 343
583 792 977 264
971 115 156 168
0 345 177 298
638 358 441 722
964 489 639 486
228 322 369 139
269 362 73 694
638 469 0 638
0 638 991 164
689 4 604 952
155 794 495 0
638 509 324 956
424 282 314 644
109 233 485 116
971 665 594 494
857 832 954 27
638 410 818 493
638 0 638 642
638 638 131 677
610 530 453 374
627 37 324 717
425 343 168 115
672 885 282 387
5 228 278 401
71 583 119 0
257 206 74 722
638 233 939 179
689 698 228 892
638 233 330 827
258 38 0 228
638 818 420 509
952 343 271 413
0 638 156 737
638 74 465 657
638 638 98 26
315 0 228 228
246 240 887 930
808 323 651 228
638 117 360 0
361 111 629 725
638 277 359 833
