3382 3796 4353 4743 2086 713 663 2895 752 1296 2576 779 2345 4997 3757
3739 2582 1095 205 4513 697 3774 3372 877 621 4095 273 3672 512 160
4466 2702 1081 361 4734 2310 166 305 2669 1043 885 2222 4462 3986 4491
3739 4372 2696 3103 1850 3759 999 414 4546 2323 1179 2998 1245 4065 4260
4174 2286 2335 2382 701 65 686 530 509 598 4185 3567 847 4470 4227
1151 3197 1198 2362 1436 598 3674 2084 4327 4513 4154 4740 3199 4827 4412
3739 3948 1387 2889 3213 2845 3450 2298 2212 3652 1840 3778 3845 1794 2986
2983 2332 1930 4528 3162 338 3486 3671 130 292 3191 328 4539 1774 4148
1403 832 2637 4586 102 2386 1087 3325 1847 2705 3582 2332 2063 2298 4665
2844 4151 3730 2336 915 4882 4354 1225 3469 3568 1938 2147 1589 414 4354
1192 3366 446 3759 4368 3567 4782 4639 1678 4557 444 4889 4083 3427 4312
4295 3218 4851 513 3447 718 372 944 222 3926 1719 4365 1470 1031 4177
439 4158 2919 3739 3739 1161 3739 1828 2958 2067 1153 769 2050 452 1076
2518 2637 1435 1593 4999 4602 1721 2645 2247 2270 414 3680 3623 2637 4446
858 2076 3612 2345 1352 53 488 1871 625 4544 4897 2561 3807 1345 4024
338 3713 2929 4829 4541 2750 671 2248 3028 1300 3358 276 4201 4543 3674
3194 205 3143 2363 4625 3438 2145 1252 2608 4372 1118 153 194 4841 3577
3739 3054 4049 4881 3607 4992 4804 2332 2597 2929 4249 2142 4716 1571 2363
2733 2332 4576 4694 2257 3568 907 2045 2100 429 15 1420 762 2733 843
4363 1505 1966 1998 3345 724 3982 4756 2798 2926 4131 3770 651 2887 4398
3218 2143 3926 574 755 2169 2379 284 4889 4554 2705 1761 3669 1487 3716
2102 2096 686 4353 4932 1720 1144 1935 3612 4375 713 1731 682 1894 1857
2098 4241 2313 1930 2540 1794 656 4757 1753 4844 548 4158 4523 3745 1222
497 4641 2389 2442 2241 136 2020 960 3284 4920 3513 3403 856 3009 3067
507 2945 2814 1236 4588 4893 1545 3492 1573 1565 136 3710 0 3173 716
3010 1713 530 4723 4923 3298 3738 1257 1283 450 31 4482 2688 2035 1446
4834 4601 760 4522 3955 2071 224 572 4603 4706 1227 2332 4395 3111 4363
2570 1482 3612 919 3893 1004 2396 274 1087 1093 2862 2262 3996 2331 4010
3739 1883 3986 3567 4939 4885 4901 2929 699 2469 1688 2544 1996 1444 2386
4500 2842 3968 2334 2450 3806 4566 4212 1928 2873 2052 2843 2066 719 408
1785 4417 3263 2361 2113 1945 2058 2226 4718 2664 443 4766 3412 2935 245
3739 1700 3378 3887 3889 2363 2153 180 4416 2964 1593 2788 2519 3468 1930
175 282 1423 827 32 4603 1411 889 3985 4501 2455 438 376 1038 1687
1099 1271 4447 781 1684 2892 527 3561 1520 1910 3172 1385 2599 349 4353
2510 4075 1447 4317 4170 2338 4154 3739 3601 1661 1429 4386 3276 769 682
2381 4672 42 2520 3635 4428 152 1597 1194 3936 4839 3729 3549 2392 284
338 2127 4915 414 1156 4962 1382 1071 684 478 4226 2332 1420 893 4219
1757 4317 3492 3228 926 36 4214 1634 1063 1469 4758 2946 894 2373 4834
3176 1395 4887 986 4659 4464 574 1128 2389 4939 2293 3584 1777 1545 4725
3674 4783 4386 3951 3028 1537 1894 2519 352 1930 3927 2258 10 1659 3574
3739 986 3205 793 1930 3302 2409 3092 4250 124 752 1647 2439 4367 4413
468 176 2066 3148 4256 3325 3841 1556 4814 388 1982 943 4846 4477 2547
